"year","name","artist","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","artist_popularity","artist_followers","playlist_url","duration_seconds","playlist","group"
"2012","Someone Like You","Adele",0.556,0.319,9,-8.251,0.0281,0.893,0,0.0996,0.294,135.187,83,52649190,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",285.24,"popular","popular"
"2012","Scream","USHER",0.616,0.862,7,-5.18,0.0973,0.00117,0,0.179,0.569,127.992,78,10850022,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",234.693,"popular","popular"
"2012","Rack City","Tyga",0.929,0.339,1,-10.881,0.371,0.0373,1.96e-05,0.187,0.273,98.986,77,6917983,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",203.2,"popular","popular"
"2012","Domino","Jessie J",0.757,0.547,7,-4.573,0.0355,0.0115,0,0.0445,0.793,126.977,68,11695127,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",231.693,"popular","popular"
"2012","Gangnam Style (강남스타일)","PSY",0.727,0.937,11,-2.871,0.286,0.00417,0,0.091,0.749,132.067,60,1651658,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",219.493,"popular","popular"
"2012","International Love (feat. Chris Brown)","Pitbull",0.67,0.855,0,-3.035,0.0499,0.0124,0,0.335,0.648,120.05,80,10299733,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",227.28,"popular","popular"
"2012","Home","Phillip Phillips",0.606,0.826,0,-6.04,0.0307,0.0256,1.56e-05,0.117,0.322,121.04,59,1111283,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",210.173,"popular","popular"
"2012","Without You (feat. Usher)","David Guetta",0.608,0.614,2,-3.727,0.0285,0.227,3.82e-06,0.157,0.402,127.885,85,26460778,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",208.133,"popular","popular"
"2012","Ass Back Home (feat. Neon Hitch)","Gym Class Heroes",0.716,0.838,10,-4.289,0.0513,0.134,0,0.148,0.646,130.034,66,1474261,"https://open.spotify.com/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de",222.213,"popular","popular"
"2013","Thrift Shop (feat. Wanz)","Macklemore & Ryan Lewis",0.781,0.526,6,-6.985,0.293,0.0619,0,0.0457,0.662,94.992,71,2622429,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",235.613,"popular","popular"
